Sample ID	CD3	PDL1	FOXP3	ICOS	CD8	CK
S14-54038	1	0	0	0	0	0
S13-22952	0	0	0	0	0	1
S13-22952	0	0	0	0	0	1
S15-18267	0	0	0	0	0	1
S14-7896	0	0	0	0	0	1
S13-15184	0	0	0	0	0	1
S14-6586	0	0	0	0	0	1
S14-4823	0	0	0	0	0	1
S14-4099	0	0	0	0	0	1
S15-18947	1	0	0	0	1	1
S13-32890	0	0	0	0	0	1
S14-54038	0	0	0	0	0	1
S15-18735	0	0	0	0	0	1
S14-162	0	0	0	0	0	1
S14-4468	1	0	0	0	1	0
S14-4476	0	0	0	0	0	1
S14-10024	0	0	0	0	0	1
S13-15184	0	1	0	0	0	0
S14-4468	0	0	0	0	0	1
S14-28806	0	1	0	0	0	0
S14-6586	0	0	0	0	0	1
S13-25320	0	0	0	0	0	1
S12-48735	0	0	0	0	0	1
S14-6586	0	0	0	0	0	1
S13-22952	1	0	0	0	1	0
S15-17798	0	0	0	0	0	1
S13-22952	0	0	0	0	0	1
S15-17798	0	0	0	0	0	1
